id,pos,CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
W2p1p2_178877,134.21888429999973 -1.9460020530000004,0.394059,-0.0045,-0.0022,0.584,9.7,24.06,23.5781,23.2674,23.1369,23.0287
W2p1p2_178880,134.88999849999988 -1.945959913000011,0.0684916,-0.0099,-0.0519,1.3186,3.1,27.0042,25.3281,24.9137,24.6256,24.9137
W2p1p2_178885,134.66293459999983 -1.946319095000017,0.0255892,-0.0067,-0.0237,2.1684,32.3,23.7347,23.2227,22.8225,21.9073,21.7474
W2p1p2_178886,134.59633270000006 -1.9462144129999868,0.00657623,-0.0066,-0.0167,2.4382,11.8,24.3721,24.0908,23.6132,23.0271,22.5554
W2p1p2_178887,134.38492970000027 -1.9459731590000102,0.0560418,-0.0093,-0.0111,1.2378,7.3,25.0462,24.6422,24.1276,23.5591,23.2376
W2p1p2_178894,134.52377580000007 -1.9459359720000182,0.29124,-0.0079,-0.0151,1.1594,4.2,24.8907,24.6924,24.5314,24.132,23.5761
W2p1p2_178898,134.37909680000024 -1.9461948170000167,0.00637696,-0.0093,-0.0109,2.1723,9.9,24.671,24.2054,23.8141,23.2374,22.8556
W2p1p2_178901,134.82554880000004 -1.9458269049999823,0.0452214,-0.0078,-0.0448,1.0848,10.7,25.5941,24.7136,24.0907,23.12,22.8717
W2p1p2_178903,134.50620540000023 -1.9458720059999968,0.0101548,-0.0171,-0.024,1.385,7.2,23.8972,23.6354,23.414,23.3095,22.7816
W2p1p2_178905,134.86537319999996 -1.945861614000001,0.957352,-0.008,-0.0429,0.0,17.4,27.8216,25.6641,24.1654,22.5536,21.9768
