id,pos,CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
W2p1p2_172923,134.1083747999999 -1.9783071039999953,0.290861,0.002,7.0E-4,0.5355,14.4,24.6302,23.8099,23.1264,22.7502,22.4892
W2p1p2_172924,134.52870409999971 -1.9780708320000053,0.795745,-0.005,-0.0138,0.7143,4.2,26.3859,25.6394,25.0811,24.2677,24.355
W2p1p2_172925,134.5702499 -1.9780573680000046,0.982006,-0.0045,-0.0136,0.0,18.1,99.0,25.5405,24.3577,22.5565,21.8846
W2p1p2_172926,134.31127959999984 -1.9779969340000016,0.655828,-0.0047,-0.0086,0.8343,2.7,26.1252,25.8501,24.9644,24.551,24.2724
W2p1p2_172930,134.86280589999973 -1.9779862639999892,0.911408,-0.0041,-0.0458,0.0,17.5,24.4939,23.3056,22.907,22.5501,22.6124
W2p1p2_172933,134.6249224000002 -1.978013329000021,0.0821571,-0.0041,-0.0175,1.2191,5.3,24.4767,24.2408,24.1492,23.9829,23.4778
W2p1p2_172938,134.4671630999997 -1.978021165000016,1.4074E-4,-0.0041,-0.012,2.4554,5.9,24.6875,24.472,24.3073,23.8201,23.5176
W2p1p2_172947,134.03467229999995 -1.9778650950000212,0.13562,-0.0044,0.0058,0.613,6.5,99.0,25.1464,24.2712,23.7325,23.6747
W2p1p2_172953,134.45620300000016 -1.9779030000000055,0.00381207,-0.0049,-0.0116,1.6832,3.8,25.0924,24.4002,24.1313,24.1561,23.8109
W2p1p2_172956,133.9765035000002 -1.9778004189999934,0.718262,-0.0013,0.0168,0.6506,3.4,25.0524,24.6122,24.4567,24.2513,23.8512
W2p1p2_172961,134.7016577999999 -1.977813322000023,0.797807,-0.0024,-0.0228,1.012,4.3,99.0,25.1784,24.322,24.1189,23.6764
W2p1p2_172966,134.13935250000017 -1.9777994819999871,0.132779,0.0011,-0.0015,1.141,3.3,25.5071,24.9989,24.8664,24.5843,24.337
W2p1p2_172974,134.16353469999984 -1.9778383569999922,0.0477952,-1.0E-4,-0.0045,0.9891,19.8,24.1078,23.3969,22.699,22.4298,22.2342
W2p1p2_172975,134.45821699999985 -1.9786051649999847,0.0265138,-0.0048,-0.0117,2.6132,35.4,24.4612,23.3164,22.2207,21.6701,21.2763
W2p1p2_172976,134.89171749999977 -1.9781979320000231,3.23712E-4,-0.0031,-0.0415,2.8363,11.5,23.9831,23.7177,23.5284,23.003,22.5686
W2p1p2_172980,134.04680559999983 -1.9776393829999843,0.710123,-0.0066,0.0029,1.8408,5.6,24.4153,24.0849,24.0359,23.9204,23.7117
W2p1p2_172981,134.69033650000029 -1.9777655509999752,0.161564,-0.0028,-0.0227,0.9594,15.2,24.6879,23.6343,23.0143,22.7125,22.5611
W2p1p2_172988,134.31208199999998 -1.9787478050000051,0.0301614,-0.0047,-0.0086,2.8161,85.3,23.9845,22.8072,21.5062,20.7739,20.4373
W2p1p2_172989,134.0741458000002 -1.9776845380000163,0.0855021,0.0029,0.0032,0.8125,13.3,24.2989,23.5423,23.0697,22.9256,22.8006
W2p1p2_172993,134.67104900000018 -1.9776290810000212,0.682928,-0.0033,-0.0215,0.7692,4.6,99.0,26.8232,25.899,24.1297,23.6273
W2p1p2_172998,134.6531792999998 -1.9776221250000134,0.975362,-0.0031,-0.0178,0.0,8.1,99.0,26.5486,24.9772,23.4835,23.0189
W2p1p2_172999,134.58321380000004 -1.9776243579999735,0.0230752,-0.0041,-0.0136,1.3427,7.8,24.5292,24.3082,24.0182,23.6159,23.0676
W2p1p2_173001,134.22893129999986 -1.977660225000007,0.02379,-0.0013,-0.0054,1.4295,10.1,24.7006,24.1833,23.4499,23.1352,22.6778
W2p1p2_173005,134.7805274999999 -1.9775497290000121,0.601787,0.0,-0.0275,0.9751,3.0,99.0,26.427,25.062,24.5931,23.7487
W2p1p2_173008,134.38487210000022 -1.9776050309999755,0.0237373,-0.005,-0.0101,1.4458,9.0,25.2934,24.653,23.8895,23.3481,23.5228
W2p1p2_173009,134.60666700000013 -1.9775698199999823,0.184322,-0.0039,-0.0141,1.2439,6.9,24.9393,24.7175,24.2587,23.5107,22.8923
W2p1p2_173010,134.7990484999998 -1.9785820060000228,0.981692,-0.0013,-0.0328,0.0,107.9,27.164,23.9229,22.5585,20.5316,19.6851
W2p1p2_173011,134.33820199999994 -1.9775969850000163,0.197262,-0.0048,-0.009,1.2094,5.7,25.0009,24.7683,24.6019,23.8963,23.8714
W2p1p2_173013,134.80830119999985 -1.9774944840000102,0.35996,-0.0017,-0.0339,1.0167,2.8,26.3128,25.5556,24.7855,24.6201,24.7144
W2p1p2_173017,134.69367070000027 -1.9775413130000148,0.815184,-0.0027,-0.0236,0.6592,3.9,25.0342,24.6594,24.5522,24.3059,24.3536
W2p1p2_173018,134.29964140000018 -1.9775657230000199,0.0674277,-0.0036,-0.0073,1.1308,10.4,25.5993,24.6228,23.8625,23.1962,22.8999
W2p1p2_173023,134.23417449999982 -1.9774931090000165,0.0463035,-0.0017,-0.0057,1.3636,4.3,25.1685,24.622,24.3467,24.0951,23.9338
W2p1p2_173025,134.1658933 -1.9774726149999997,0.0961214,-0.0023,-0.0034,0.7144,3.9,99.0,25.9431,24.7985,24.1696,23.8928
W2p1p2_173028,134.47602939999973 -1.9775225259999847,0.465106,-0.0041,-0.0122,1.1125,2.8,25.4435,25.0457,24.853,24.5419,99.0
W2p1p2_173030,134.25655230000024 -1.977827851999976,0.982269,-0.0024,-0.0068,0.0,41.6,99.0,24.4617,23.2191,21.5882,20.9455
W2p1p2_173034,134.4229828000002 -1.9775217240000191,0.0132851,-0.0055,-0.01,1.8676,3.8,25.3642,25.0335,24.819,24.4479,24.619
W2p1p2_173035,134.53062929999976 -1.9775117769999786,0.125143,-0.0051,-0.0138,1.1883,3.0,25.9887,25.7173,25.3934,24.6419,99.0
W2p1p2_173041,134.05470850000006 -1.9774209819999815,0.0840278,-0.0067,0.0028,2.4156,6.9,25.0254,24.2253,23.935,23.8161,24.0126
W2p1p2_173042,134.8825965 -1.9773718329999848,0.404744,-0.0062,-0.0495,0.8634,3.1,99.0,26.9791,25.3141,24.4938,24.1529
W2p1p2_173044,134.40151060000005 -1.9778850699999757,0.0280822,-0.0064,-0.0096,1.6337,23.2,24.5238,23.8651,23.2773,22.2486,21.869
W2p1p2_173048,134.64485049999982 -1.9774188020000154,0.18141,-0.0041,-0.0192,1.2244,4.3,25.1775,24.7815,24.5808,24.1747,23.3761
W2p1p2_173050,134.6755838000002 -1.9773747330000249,0.019815,-0.0031,-0.0219,0.9602,3.2,26.0303,25.8719,25.245,24.5739,23.7257
W2p1p2_173052,134.69943650000016 -1.9782773510000211,0.00861266,-0.0025,-0.0242,3.7828,22.1,24.5723,23.9998,23.3221,22.3898,21.8406
W2p1p2_173059,134.0109485000002 -1.9792954830000142,0.0275345,-0.0026,0.0114,4.1816,62.4,22.7977,21.9492,21.291,21.0578,20.837
W2p1p2_173060,134.30104549999976 -1.9773147569999947,0.0015093,-0.0047,-0.0084,1.629,4.2,25.888,25.0119,24.8026,24.3549,24.6098
W2p1p2_173063,134.40987200000026 -1.9773507140000093,0.10643,-0.0067,-0.0103,2.8451,6.9,26.4244,24.915,24.287,23.8346,23.4955
W2p1p2_173066,133.9916653999997 -1.9772496830000141,0.720534,-0.0026,0.014,0.0,3.7,25.2273,25.1418,24.8545,24.1744,24.2782
W2p1p2_173067,134.1258425999999 -1.9772595059999958,0.976442,0.0021,-1.0E-4,0.0,23.0,25.8571,23.5888,22.798,22.3041,22.0956
W2p1p2_173069,134.89146229999983 -1.977225314000004,0.084009,-0.0048,-0.0455,1.3834,6.9,25.344,24.7547,24.1826,23.5747,22.489
W2p1p2_173073,134.87359400000008 -1.9773973130000078,0.970132,-0.0034,-0.0422,0.0,26.4,27.3308,24.5909,23.3615,22.1344,21.4995
W2p1p2_173078,134.75843860000012 -1.9772748090000227,0.370191,-3.0E-4,-0.0307,1.1119,16.8,22.9262,22.8361,22.899,22.6006,22.3326
W2p1p2_173082,134.67636099999984 -1.9771578349999839,0.00817721,-0.002,-0.0202,1.5623,7.5,24.4425,23.9511,23.8885,23.5727,23.1751
W2p1p2_173083,134.24770229999976 -1.9771930040000163,0.983469,-0.0022,-0.0062,0.0,20.5,99.0,25.3769,24.1759,22.3949,21.6866
W2p1p2_173086,134.72308740000017 -1.977271213000017,0.00965775,-0.0023,-0.0315,2.5137,9.4,24.7286,24.3373,23.5482,23.2748,23.8551
W2p1p2_173093,134.24035629999983 -1.9771760380000043,0.03921,-0.0019,-0.0059,1.367,7.4,24.3189,23.9991,23.7553,23.4769,22.966
W2p1p2_173094,133.98792330000023 -1.977072558999997,0.367511,-0.0023,0.0147,1.754,3.9,25.9777,25.6522,25.4096,24.5595,24.3993
W2p1p2_173103,134.92112580000008 -1.977000683000024,0.019903,-0.0057,-0.0488,1.2415,3.8,25.0178,24.9846,25.0305,24.4073,99.0
W2p1p2_173110,134.02864029999995 -1.9781208729999997,0.0285135,-0.0042,0.0087,2.594,88.5,22.6676,21.9245,21.1204,20.6178,20.4103
W2p1p2_173112,134.33569690000002 -1.9770339289999999,0.0122622,-0.0049,-0.009,1.4635,3.7,26.3483,26.4002,25.5339,24.4628,24.2741
W2p1p2_173114,134.71177229999975 -1.977017344000008,0.964539,-0.0031,-0.0279,0.0,11.9,99.0,25.8944,24.2909,23.0272,22.6162
W2p1p2_173115,134.19645929999973 -1.9774665979999877,0.98079,3.0E-4,-0.0035,0.0,58.1,25.2199,23.2936,22.1068,21.2114,20.8
W2p1p2_173120,134.82988890000027 -1.977903580000008,0.0263391,-0.0018,-0.0368,2.5802,45.5,23.59,22.9676,22.3788,21.4763,21.1364
W2p1p2_173122,134.00826400000022 -1.9769306370000153,0.00801817,-0.0035,0.0109,1.6827,8.4,25.7501,24.4894,23.6319,23.1958,23.1036
W2p1p2_173124,134.85360189999994 -1.977131248999986,0.0937502,-0.003,-0.0369,0.9008,19.2,23.2262,22.921,22.4896,22.4031,22.438
W2p1p2_173127,134.70334660000006 -1.9769639789999751,0.827039,-0.0028,-0.0241,0.3897,4.1,99.0,99.0,25.7471,24.3751,23.801
W2p1p2_173129,134.70462149999983 -1.9773298860000212,0.188407,-0.0032,-0.0271,1.0075,29.9,26.3561,24.6981,23.1964,21.9297,21.4955
W2p1p2_173131,134.3819659000003 -1.9769285550000169,0.78207,-0.0045,-0.0096,0.6043,7.5,24.8329,24.2112,23.8639,23.5278,23.12
W2p1p2_173132,134.27020209999975 -1.9769380299999924,0.293001,-0.0028,-0.0073,0.701,4.6,99.0,26.647,25.4032,24.0183,23.145
W2p1p2_173133,133.98091159999979 -1.9768433070000018,0.00596417,-0.0018,0.0161,1.1418,7.4,24.3628,23.9044,23.7643,23.5402,23.0226
W2p1p2_173141,134.6356826 -1.9769057730000048,0.0436262,-0.0033,-0.0164,1.0306,4.4,26.1321,24.947,24.4614,24.3369,24.7437
W2p1p2_173146,134.49178919999997 -1.9772920910000038,0.0324726,-0.0034,-0.0128,3.0196,17.8,24.775,23.6976,23.0132,22.5122,21.9681
W2p1p2_173154,133.98555420000017 -1.9767502849999898,0.103541,-0.0022,0.0152,0.0,15.3,25.9836,24.0265,23.2431,22.7312,22.3973
W2p1p2_173155,134.4896189999998 -1.9768101059999879,0.345985,-0.0036,-0.0127,1.6021,3.3,25.0329,24.6885,24.6467,24.5038,23.9581
W2p1p2_173158,134.21474760000015 -1.9768020189999769,0.00179033,-7.0E-4,-0.0047,3.6228,5.7,24.7552,24.507,24.5849,24.0682,23.9736
W2p1p2_173159,134.22448950000015 -1.9768298689999892,0.569882,-0.0013,-0.005,1.2412,2.4,25.0239,24.7532,24.7467,24.5327,99.0
W2p1p2_173163,134.0991017000003 -1.9768908979999955,2.44699E-4,0.0019,0.0015,2.9498,10.5,24.7564,24.2504,23.5892,23.1667,23.0011
W2p1p2_173164,134.44760780000001 -1.9767729050000071,0.00284132,-0.0054,-0.0114,1.791,3.9,25.2628,25.0206,24.6623,24.5269,24.7313
W2p1p2_173174,134.04480770000015 -1.9766624939999966,0.0141398,-0.0062,0.0046,1.4426,6.8,24.9034,24.5534,24.2616,23.604,23.0978
W2p1p2_173177,134.85102750000016 -1.9766650989999786,0.0156357,-0.003,-0.0364,1.5395,6.1,24.5685,24.3735,24.1145,23.831,23.7076
W2p1p2_173180,134.0132308999998 -1.9765892549999835,0.00118419,-0.0039,0.01,2.2784,5.4,25.2215,24.2295,24.1526,23.9319,23.8245
W2p1p2_173182,134.85842710000009 -1.9767899300000213,0.0277601,-0.0032,-0.038,2.106,34.1,23.7554,22.8726,22.0568,21.7554,21.3065
W2p1p2_173190,134.768227 -1.9766453830000257,0.0403191,-2.0E-4,-0.0303,1.359,3.9,25.7655,25.3868,24.6831,24.2574,24.2144
W2p1p2_173191,134.23211620000004 -1.9765901400000074,0.0176724,-0.0015,-0.0055,2.0625,3.0,26.1025,26.2693,25.7412,24.4877,23.7205
W2p1p2_173197,134.0733047000001 -1.9765929120000265,0.00527989,0.0063,0.0044,1.7704,5.5,24.9375,24.6432,24.2125,23.9718,23.8728
W2p1p2_173198,134.8463379000002 -1.976585214000022,0.0889152,-0.0019,-0.0321,1.8267,8.5,24.3912,23.8294,23.6397,23.2207,22.7423
W2p1p2_173199,134.0519626000001 -1.9765134969999965,0.306085,-0.0067,0.0032,0.969,3.7,25.9059,24.8862,24.4255,24.4564,24.4076
W2p1p2_173200,134.05292039999975 -1.9765453200000158,0.13757,-0.0061,0.0025,1.1754,7.1,25.6739,24.8496,24.2223,23.5648,23.2687
W2p1p2_173201,134.5420487000002 -1.976628114999982,0.123587,-0.0053,-0.0132,1.1477,10.0,23.8221,23.6047,23.5068,23.1873,22.8128
W2p1p2_173202,134.70609339999982 -1.9765351669999787,0.769739,-0.0028,-0.0249,0.8015,3.5,26.2194,25.9226,24.8017,24.5363,24.53
W2p1p2_173204,134.3981220000002 -1.976568557000005,0.782488,-0.0081,-0.009,0.8467,13.0,24.5565,24.252,23.6364,22.9574,22.6299
W2p1p2_173206,134.33046310000006 -1.9765012000000088,0.0241346,-0.006,-0.0096,1.0268,5.7,24.7395,24.4691,24.1007,23.9412,23.363
W2p1p2_173209,134.59193620000028 -1.9765734840000082,0.0216353,-0.0035,-0.0127,1.7026,8.9,24.6156,24.1668,23.7095,23.3911,23.5669
W2p1p2_173210,134.4629825000002 -1.9766074659999844,0.0133105,-0.0048,-0.0119,1.5526,12.0,24.1086,23.9012,23.5357,22.9846,22.4566
W2p1p2_173211,134.24404099999995 -1.976691764000022,0.181615,-0.003,-0.0053,1.6206,11.5,99.0,25.2532,24.218,22.9651,22.2859
W2p1p2_173212,134.43620470000025 -1.9765333720000002,0.166145,-0.0056,-0.0107,1.3475,3.4,24.8595,24.4993,24.7193,24.427,99.0
W2p1p2_173219,134.82337479999993 -1.9764114600000224,0.350703,-0.0026,-0.0364,0.7461,3.9,99.0,99.0,25.977,24.1624,23.2692
W2p1p2_173226,134.4583087000002 -1.9764261370000216,0.0965451,-0.005,-0.0117,1.1199,4.2,25.6435,24.5087,24.1756,24.0832,23.7133
W2p1p2_173227,134.69269680000002 -1.976392318999978,0.734005,-0.0029,-0.0236,0.6424,2.9,25.0975,24.9035,24.8388,24.5521,24.1682
W2p1p2_173233,134.67027399999978 -1.976408824000016,0.406551,-0.0035,-0.0232,0.8178,3.2,26.1616,25.9627,25.3074,24.6118,24.709
W2p1p2_173238,134.58378780000024 -1.9763355210000098,0.00605509,-0.0042,-0.0137,2.3236,5.1,26.0405,25.0515,24.5903,24.2669,23.4881
W2p1p2_173240,134.3363088999999 -1.9763830339999808,0.105406,-0.0049,-0.009,3.5521,6.9,25.894,25.5857,25.446,24.1407,23.6295
W2p1p2_173245,134.12217109999972 -1.9763154220000012,0.7406,0.0024,2.0E-4,0.0,4.3,99.0,27.2422,25.3663,24.2882,23.9528
W2p1p2_173247,134.87963430000016 -1.976269301999985,0.0886038,-0.0057,-0.0478,0.9867,4.6,24.8421,24.5961,24.3877,23.9686,23.6764
W2p1p2_173248,134.4836971 -1.9770991850000237,0.014858,-0.0024,-0.0113,2.2959,20.3,23.9207,23.1513,22.5537,22.4085,22.5338
W2p1p2_173249,134.16541370000016 -1.9763006149999978,0.0981857,-5.0E-4,-0.0036,1.2457,8.3,25.4176,24.6875,23.909,23.4243,23.4173
W2p1p2_173250,134.52608689999988 -1.9763185500000124,0.952683,-0.0048,-0.0141,0.2773,7.2,99.0,26.1273,24.5307,23.6983,23.3927
W2p1p2_173251,134.12844370000028 -1.9762728190000027,0.897225,0.003,-2.0E-4,0.2965,6.5,24.5612,24.2776,24.2356,23.7728,23.4153
W2p1p2_173253,134.7691793000002 -1.9762578310000254,0.688441,5.0E-4,-0.0293,0.3273,9.6,99.0,25.7482,24.3495,23.1977,22.8426
W2p1p2_173255,134.54432169999976 -1.9763181829999814,0.188775,-0.0049,-0.0137,1.125,9.4,24.4094,24.0964,23.946,23.2279,22.8201
W2p1p2_173256,134.04308769999983 -1.9762663320000076,0.668559,-0.0062,0.005,0.5104,3.9,26.2672,26.0689,25.1426,24.3834,24.0121
W2p1p2_173261,134.12509340000022 -1.9762016990000155,0.00460495,0.0022,0.0,1.7209,4.1,25.6964,25.2036,24.6088,24.3013,23.8944
W2p1p2_173262,134.3902475000001 -1.9762789899999778,0.921654,-0.005,-0.0102,0.2503,5.2,27.2961,26.1071,25.2632,24.1418,23.6871
W2p1p2_173264,134.2639369000001 -1.97624840799998,0.166116,-0.0035,-0.0068,0.7461,4.4,25.2664,24.899,24.6516,24.0844,23.6865
W2p1p2_173265,134.39387340000025 -1.9762406549999925,0.0145441,-0.0056,-0.0102,2.221,13.0,25.8446,24.7424,23.8979,22.9439,22.3865
W2p1p2_173266,134.23372809999987 -1.976225946000002,0.0163854,-0.0018,-0.0056,1.1134,7.8,24.2628,23.8513,23.7283,23.4079,22.9712
W2p1p2_173267,134.62815060000003 -1.9762330410000177,0.00780642,-0.0043,-0.0179,1.657,4.3,24.9117,24.7175,24.5188,24.379,24.1598
W2p1p2_173268,134.74399250000027 -1.9765441680000033,0.0414345,-0.002,-0.0326,1.0303,24.7,26.0327,25.0467,23.462,22.1519,21.6906
W2p1p2_173273,134.92723319999973 -1.976118693000016,0.0666682,-0.009,-0.0587,0.9215,4.1,25.2096,24.5953,24.521,24.3459,24.0665
W2p1p2_173278,134.22702270000008 -1.9770629049999795,0.979937,-0.0014,-0.0052,0.0,65.8,25.8892,23.8795,22.7061,21.0498,20.3861
W2p1p2_173279,134.55536569999973 -1.9767881469999962,0.870243,-0.006,-0.0169,0.0,23.7,26.3886,23.702,22.6926,22.1444,21.7292
W2p1p2_173288,134.07535469999976 -1.9766946659999935,3.48447E-4,0.0072,0.004,2.7748,15.7,23.5378,23.2504,22.9741,22.7658,22.2419
W2p1p2_173292,134.4442297000001 -1.9761173949999753,0.218424,-0.0057,-0.0113,1.1953,3.1,25.2544,25.105,25.0185,24.6397,24.0769
W2p1p2_173296,134.51471080000027 -1.9770608029999894,0.031667,-0.005,-0.0151,2.3798,52.9,99.0,24.5814,22.7932,21.3471,20.7804
W2p1p2_173297,134.33632300000022 -1.9766608179999947,0.00103435,-0.0049,-0.009,3.5759,6.9,26.35,25.9981,25.6675,24.1232,23.6418
W2p1p2_173298,134.00959339999986 -1.976465641000004,0.0708325,-0.0037,0.0107,0.5776,63.6,22.3941,21.5364,21.2401,21.0502,21.0317
W2p1p2_173300,134.56858610000026 -1.9760490450000179,0.401163,-0.0047,-0.0137,0.8048,5.0,24.8093,24.5157,24.3281,24.0143,23.4146
W2p1p2_173305,134.03507130000023 -1.9760225850000053,0.157725,-0.0054,0.0062,1.4234,3.8,25.4525,24.7187,24.7902,24.6143,24.2865
W2p1p2_173306,134.0071702000001 -1.9759688060000011,0.0276955,-0.0036,0.0113,1.8977,6.6,24.8312,24.6992,24.1084,23.6988,23.8428
W2p1p2_173308,134.79127270000015 -1.9760529230000121,0.00186399,-0.0014,-0.032,2.8257,8.2,99.0,26.7669,24.9586,23.4259,22.9445
W2p1p2_173310,134.3723246999999 -1.9759842069999896,0.077693,-0.006,-0.0107,0.9705,3.8,25.6949,25.5006,24.9452,24.459,24.4855
W2p1p2_173311,134.04967889999995 -1.9762801159999963,0.0132332,-0.0064,0.0046,2.4472,15.9,24.8702,24.2102,23.2785,22.6707,22.1894
W2p1p2_173313,134.33168589999988 -1.9759467860000233,0.970105,-0.0061,-0.0096,0.0,8.2,99.0,26.9178,25.4355,23.5091,22.7386
W2p1p2_173319,134.8401816999997 -1.976223112999997,0.981527,-6.0E-4,-0.0266,0.0,42.7,25.8418,23.5983,22.4569,21.5527,21.1882
W2p1p2_173320,134.33393120000017 -1.9759545920000112,0.802372,-0.0045,-0.0091,0.5615,10.6,99.0,26.5619,24.3544,23.0831,22.3473
W2p1p2_173323,134.21971319999975 -1.976125596000018,0.923279,-0.0028,-0.0057,0.0,27.3,25.088,23.375,22.4698,22.0197,21.7624
W2p1p2_173325,134.20938140000018 -1.9758843499999816,0.00110901,-0.0011,-0.0053,2.385,6.9,24.5022,24.1741,24.029,23.6868,23.5549
W2p1p2_173326,134.6685221000001 -1.9758693280000237,0.384824,-0.0035,-0.0231,0.4273,5.7,24.3067,23.6147,23.4711,23.776,23.663
W2p1p2_173329,134.8194492000003 -1.9758712109999945,0.074948,-0.0025,-0.0386,1.1212,3.2,26.2962,25.2103,24.6308,24.3031,25.0337
W2p1p2_173332,134.23938910000015 -1.9758308620000165,0.335146,-0.0011,-0.0054,0.5161,3.6,25.7567,25.0191,24.6641,24.1434,23.6593
W2p1p2_173336,134.37836260000012 -1.9758216199999976,0.0861818,-0.0048,-0.0096,1.311,6.1,25.8018,25.1827,24.5989,23.8534,23.7751
W2p1p2_173343,134.01372059999994 -1.9757337200000036,0.506657,-0.0041,0.01,1.5689,3.2,25.6684,25.1988,25.2215,24.5728,24.2121
W2p1p2_173344,134.30319539999985 -1.9758338830000108,2.51844E-4,-0.0049,-0.0084,2.4042,11.1,23.9581,23.5762,23.3973,23.1782,22.9696
W2p1p2_173345,134.88599670000025 -1.9757371199999825,0.0854089,-0.0051,-0.0486,1.6373,5.6,24.8462,24.0847,23.9554,23.8642,23.7708
W2p1p2_173346,134.79376759999974 -1.9757627969999976,4.92563E-4,-0.0016,-0.0327,1.5194,6.6,24.5211,24.0565,23.84,23.7245,23.1551
W2p1p2_173349,134.38193730000006 -1.9757297529999993,0.296019,-0.0047,-0.0096,0.9445,3.6,26.2745,25.9012,24.9344,24.5052,24.2109
W2p1p2_173351,134.27085710000028 -1.9757103629999737,0.231562,-0.0029,-0.0073,0.7084,5.1,24.4891,24.2658,24.3612,23.8671,23.3974
W2p1p2_173365,134.6812696000002 -1.975683250999997,0.156443,-0.0041,-0.0274,1.6229,8.4,99.0,26.39,24.6454,23.3872,22.6516
W2p1p2_173366,134.6377196999999 -1.9756704130000182,0.0271899,-0.0041,-0.0174,1.8131,14.2,24.8843,24.1734,23.2128,22.8482,22.7291
W2p1p2_173373,134.4265881000001 -1.9756303139999811,0.0588914,-0.0064,-0.0108,0.9902,4.1,25.0431,24.7151,24.4869,24.1634,23.5494
W2p1p2_173375,134.89897230000014 -1.9759382340000196,0.0183361,-0.0045,-0.0429,1.8794,12.7,25.2243,24.5735,23.7612,22.9119,22.7388
W2p1p2_173377,134.2814486 -1.9756477719999976,0.0313881,-0.0026,-0.0099,1.4361,6.4,24.7762,24.4662,24.1189,23.5824,23.2341
W2p1p2_173382,134.89053790000017 -1.975536883999995,0.569386,-0.0052,-0.0456,0.5392,3.8,25.5137,24.747,24.4889,24.2363,23.7135
W2p1p2_173385,134.31342949999993 -1.9755800869999873,0.48742,-0.005,-0.0085,0.8946,3.1,26.6996,26.5556,25.2091,24.6211,24.8948
W2p1p2_173389,134.4153291000002 -1.9755790949999916,0.106765,-0.0068,-0.0105,1.9938,6.8,26.0107,25.4998,24.4865,23.5805,23.395
W2p1p2_173390,134.03672019999985 -1.9755176299999826,0.482904,-0.0056,0.0059,1.7551,4.6,99.0,25.5705,25.5051,24.6584,24.1786
W2p1p2_173399,134.67409680000003 -1.976061872000009,0.979485,-0.0043,-0.0241,0.0,74.1,25.3971,23.0135,21.8629,20.9449,20.4515
W2p1p2_173411,134.04415449999982 -1.9753756719999966,0.00631659,-0.0064,0.0049,1.7729,8.0,24.7646,24.5025,23.9759,23.495,23.4779
W2p1p2_173416,134.0367261000001 -1.9753487559999945,0.642751,-0.0063,0.0064,1.7184,4.8,26.0342,25.5308,25.449,24.543,24.0058
W2p1p2_173422,134.38636000000017 -1.975533611999991,0.0111652,-0.0045,-0.0097,1.8894,12.8,25.4067,24.4394,23.4999,22.9553,22.8185
W2p1p2_173426,134.61802039999975 -1.9753111310000098,0.686915,-0.0045,-0.0152,0.9316,4.2,25.8368,25.4361,24.6306,24.2257,23.8035
W2p1p2_173428,134.33761280000007 -1.9760686780000152,0.0215406,-0.005,-0.009,2.2705,32.0,23.9255,23.0726,22.2144,21.9044,21.7561
W2p1p2_173434,134.04611010000028 -1.9752234799999964,0.544113,-0.0066,0.0045,0.7649,3.6,24.6384,24.5505,24.661,24.4353,24.3083
W2p1p2_173442,134.90681819999998 -1.9751621010000007,0.0867434,-0.0049,-0.0449,0.9903,5.4,25.1838,24.8641,24.5742,23.9805,24.4079
W2p1p2_173445,134.87146300000006 -1.9751821369999876,0.459089,-0.0037,-0.0411,3.8843,4.6,99.0,25.5045,99.0,24.6414,99.0
W2p1p2_173447,134.7893679000003 -1.9751322539999805,0.045639,-0.0015,-0.0319,1.3793,8.0,25.7373,25.0874,24.2996,23.5259,23.3404
W2p1p2_173450,134.25813269999975 -1.9751646170000194,0.0281078,-0.0027,-0.0067,1.6413,6.4,25.0472,24.6684,24.4328,23.6706,23.4942
W2p1p2_173456,134.80329680000023 -1.9755711089999954,0.00239566,-0.0018,-0.0336,3.3776,16.5,24.1825,23.4648,22.8426,22.6461,22.2634
W2p1p2_173457,134.1516698999999 -1.9752394729999867,0.0132365,-6.0E-4,-0.0025,2.116,14.2,24.3008,23.9885,23.3877,22.8966,22.7727
W2p1p2_173459,134.00995490000008 -1.9750990530000123,0.656482,-0.0039,0.0108,0.5353,3.6,24.9961,24.6223,24.6102,24.3558,24.1921
W2p1p2_173473,134.02857559999975 -1.9753574599999777,0.00855059,-0.0047,0.009,2.0055,14.2,25.6883,24.7872,23.7574,22.7569,22.1195
W2p1p2_173477,134.1022447999997 -1.975043961000013,0.0213529,0.0036,0.0022,1.5025,3.2,25.2047,24.7749,24.664,24.5712,24.6634
W2p1p2_173478,134.86526940000016 -1.9750151469999824,0.368562,-0.0039,-0.0399,0.6022,2.8,26.0369,25.0188,24.7723,24.634,24.7057
W2p1p2_173479,134.49410640000013 -1.975064269999985,0.1325,-0.0035,-0.0129,1.0842,10.1,24.6879,24.3903,23.6058,23.2159,23.1432
W2p1p2_173482,134.5366709999999 -1.9750068500000075,0.0957783,-0.0051,-0.0138,0.833,4.7,26.0964,25.4316,24.7916,24.0478,23.9953
W2p1p2_173488,134.66278300000016 -1.9749582050000212,0.507905,-0.0037,-0.021,0.4835,4.3,25.4844,25.3658,25.0643,24.2218,23.5471
W2p1p2_173491,134.4507082000001 -1.975202496999976,0.00749049,-0.0054,-0.0115,2.2567,11.3,24.2342,23.7698,23.1638,23.1311,23.1024
W2p1p2_173492,134.29425660000027 -1.9750913430000083,0.0094744,-0.0048,-0.0082,2.3894,14.3,25.9485,25.1652,23.9461,22.8378,22.1322
W2p1p2_173493,134.36602089999977 -1.9753124579999943,0.982332,-0.0049,-0.0094,0.0,43.2,22.8794,22.0216,21.7227,21.5567,21.4919
